Starting crawl of https://help.forcepoint.com/dlp/10.4.0/dlphelp/index.html
[Queue: 204] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/4ECEB9AB-B06F-44A5-9153-EF236FB9B67B.html
[Queue: 203] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/0C0AA412-6468-4785-A363-C64DA96C0B1C.html
[Queue: 212] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/guid-77bccfb5-08fb-43bc-af93-dd8804c8539d.html
[Queue: 211] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/DED20CFE-03CE-4E50-A033-FB6B92D3DDB3.html
[Queue: 210] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/7AC543F4-D38A-4ADF-89D9-5D35B28920C0.html
[Queue: 209] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/684464CF-AED9-471E-9976-19AF8C56BD38.html
[Queue: 208] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/CABB871A-6AB7-47EC-AD6E-466DF934D234.html
Saving 60 pages to full_site_data.json...
[Queue: 218] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/DCDCB283-2095-458E-B3A1-C1E40218B2DD.html
[Queue: 217] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/AD5457D7-77AC-457E-97A9-940D41A75990.html
[Queue: 216] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/F25B5C39-562C-4143-9909-6EC3F19BF62E.html
[Queue: 215] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/3E5D4E59-4296-410A-B6AD-F5F79A60F43A.html
[Queue: 214] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/8483EB95-2B1C-4E4A-8813-FFA5E1AAAC84.html
[Queue: 256] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/6889A85C-EC6D-457F-B06A-8D45AC6D2777.html
[Queue: 255] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/5E148450-A21E-46A2-A773-6912257F701F.html
[Queue: 254] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/22FA5E0D-783F-4136-8016-5FC5C6313865.html
[Queue: 253] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/249515F5-AAB1-4F51-BA06-87F33FD5663B.html
[Queue: 252] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/guid-a71ce621-7d4c-48e9-b870-1260c1212528.html
[Queue: 263] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/A2D5B183-5CA7-4EC0-846C-55EADB9A1D02.html
[Queue: 262] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/14F2E9F5-56BE-4F64-9D32-25DC26AAC3B0.html
[Queue: 261] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/51918381-7A14-4834-9D94-B5DEE78B8D14.html
[Queue: 260] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/4D7EA8E4-69C6-48BF-87B3-2796B4F70F80.html
[Queue: 259] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/7CC02CD7-9500-4154-A182-5A6AE5EF24D8.html
[Queue: 260] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/B5FB1E1F-0950-4063-BAAD-2A30EC85AECD.html
[Queue: 259] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/6A534CD4-2C23-4168-8CA3-CDCB2B838169.html
[Queue: 258] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/5634842E-2AF9-431F-B5B0-1E6A1554218D.html
[Queue: 257] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/9512127B-B7BE-4E07-92C2-2797AC7F1306.html
[Queue: 256] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/D81EEB4E-BAB4-41A8-9A97-7B5338E4BE89.html
Saving 80 pages to full_site_data.json...
[Queue: 255] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/17114F15-13A0-406E-869E-0BE0174F8E2E.html
